1,molecule,Formaldehyde,"4.0E-7, 4.0E-7","6( 5, 1)- 6( 5, 2)",-19.9242,,line_bottom,line_bottom2,CDMS
160,NH3 v=0,Ammonia,"0.3454764, 0.3454764",24( 6)0a-24(-6)0s,-19.2081,,8051.29648,8051.31306,JPL
161,H2CO,Formaldehyde,"0.3555677, 0.3555677","3( 2, 1)- 3( 2, 2)",-8.53,,68.09376,68.11082,CDMS
162,H2CO,Formaldehyde,"0.3700186, 0.3700186","15( 4,11)-15( 4,12)",-9.3322,,607.95601,607.97377,CDMS
163,H2CO,Formaldehyde,"0.3763947, 0.3763947","49( 8,41)-49( 8,42)",-15.6157,,5016.43887,5016.45693,CDMS
164,H2CO,Formaldehyde,"0.3764053, 0.3764053","31( 6,25)-31( 6,26)",-11.5198,,2155.54609,2155.56415,CDMS
165,H2CO,Formaldehyde,"0.4027019000000001, 0.4027019","40( 7,33)-40( 7,34)",-12.8167,,3435.82963,3435.84896,CDMS
166,H2CO,Formaldehyde,"0.4301544, 0.4301544","23( 5,18)-23( 5,19)",-9.6567,,1258.87352,1258.89416,CDMS
167,HDO,Water,"0.486528, 0.486528","5( 4, 1)- 5( 4, 2)",-8.566,,690.95786,690.98121,JPL
168,H2CO,Formaldehyde,"0.514103, 0.514103","50( 8,42)-50( 8,43)",-15.6066,,5190.26054,5190.28521,CDMS
169,H2CO,Formaldehyde,"0.5150573, 0.5150573","49( 6,43)-50( 4,46)",-16.6923,,4706.4599,4706.48462,CDMS
170,H2CO,Formaldehyde,"0.5463518, 0.5463518","32( 6,26)-32( 6,27)",-11.3728,,2267.36301,2267.38923,CDMS
171,H2CO,Formaldehyde,"0.5634236, 0.5634236","41( 7,34)-41( 7,35)",-12.7439,,3578.79403,3578.82107,CDMS
172,H2CO,Formaldehyde,"0.6007402, 0.6007402","9( 3, 6)- 9( 3, 7)",-7.9705,,263.36344,263.39227,CDMS
173,NH3 v=0,Ammonia,"0.6070216, 0.6070216",25( 7)0a-25( 7)0s,-19.7892,,8652.12023,8652.14936,JPL
174,H2CO,Formaldehyde,"0.6146859, 0.6146859","16( 4,12)-16( 4,13)",-9.0004,,663.95778,663.98728,CDMS
175,NH3 v=0,Ammonia,"0.6265737, 0.6265737",24( 4)0a-24( 4)0s,-19.485,,8138.63851,8138.66858,JPL
176,H2CO,Formaldehyde,"0.6531557, 0.6531557","24( 5,19)-24( 5,20)",-9.4347,,1342.8425,1342.87385,CDMS
177,NH3 v=0,Ammonia,"0.6805152000000001, 0.6805152",24( 5)0a-24( 5)0s,-19.1556,,8099.41048,8099.44314,JPL
